date,close_last_nvidia,close_last_sp500,close_last_apple,close_last_amd
2023-06-09,$38.77,4298.86,$180.96,$124.92
2023-06-08,$38.51,4293.93,$180.57,$121.05
2023-06-07,$37.475,4267.52,$177.82,$117.83
2023-06-06,$38.654,4283.85,$179.21,$124.23
2023-06-05,$39.171,4273.79,$179.58,$117.93
2023-06-02,$39.327,4282.37,$180.95,$117.86
2023-06-01,$39.77,4221.02,$180.09,$119.47
2023-05-31,$37.834,4179.83,$177.25,$118.21
2023-05-30,$40.111,4205.52,$177.30,$125.27
2023-05-26,$38.946,4205.45,$175.43,$127.03
2023-05-25,$37.98,4151.28,$172.99,$120.35
2023-05-24,$30.538,4115.24,$171.84,$108.27
2023-05-23,$30.688,4145.58,$171.56,$108.12
2023-05-22,$31.176,4192.63,$174.20,$108.00
2023-05-19,$31.264,4191.98,$175.16,$105.82
2023-05-18,$31.678,4198.05,$175.05,$107.93
2023-05-17,$30.178,4158.77,$172.69,$103.75
2023-05-16,$29.213,4109.90,$172.07,$101.48
2023-05-15,$28.953,4136.28,$172.07,$97.40
2023-05-12,$28.34,4124.08,$172.57,$95.26
2023-05-11,$28.578,4130.62,$173.75,$97.10
2023-05-10,$28.885,4137.64,$173.555,$97.02
2023-05-09,$28.571,4119.17,$171.77,$95.06
2023-05-08,$29.151,4138.12,$173.50,$95.04
2023-05-05,$28.68,4136.25,$173.57,$89.84
2023-05-04,$27.562,4061.22,$165.79,$86.61
2023-05-03,$27.802,4090.75,$167.45,$81.62
2023-05-02,$28.21,4119.58,$168.54,$89.91
2023-05-01,$28.91,4167.87,$169.59,$89.69
2023-04-28,$27.749,4169.48,$169.68,$89.37
2023-04-27,$27.226,4135.35,$168.41,$87.44
2023-04-26,$26.956,4055.99,$163.76,$85.94
2023-04-25,$26.241,4071.63,$163.77,$83.80
2023-04-24,$27.042,4137.04,$165.33,$87.57
2023-04-21,$27.119,4133.52,$165.02,$88.43
2023-04-20,$27.104,4129.79,$166.65,$90.11
2023-04-19,$27.931,4154.52,$167.63,$89.94
2023-04-18,$27.667,4154.87,$166.47,$89.78
2023-04-17,$27.002,4151.32,$165.23,$89.87
2023-04-14,$26.758,4137.64,$165.21,$91.75
2023-04-13,$26.463,4146.22,$165.56,$92.09
2023-04-12,$26.495,4091.95,$160.10,$92.33
2023-04-11,$27.169,4108.94,$160.80,$94.03
2023-04-10,$27.579,4109.11,$162.03,$95.48
2023-04-06,$27.037,4105.02,$164.66,$92.47
2023-04-05,$26.881,4090.38,$163.76,$92.56
2023-04-04,$27.453,4100.60,$165.63,$95.87
2023-04-03,$27.965,4124.51,$166.17,$96.56
2023-03-31,$27.777,4109.31,$164.90,$98.01
2023-03-30,$27.383,4050.83,$162.36,$97.88
2023-03-29,$26.984,4027.81,$160.77,$96.09
2023-03-28,$26.41,3971.27,$157.65,$94.56
2023-03-27,$26.531,3977.53,$158.28,$96.61
2023-03-24,$26.779,3970.99,$160.25,$97.95
2023-03-23,$27.191,3948.72,$158.93,$100.28
2023-03-22,$26.468,3936.97,$157.83,$97.58
2023-03-21,$26.199,4002.87,$159.28,$95.93
2023-03-20,$25.90,3951.57,$157.40,$96.81
2023-03-17,$25.725,3916.64,$155.00,$97.84
2023-03-16,$25.541,3960.28,$155.85,$96.60
2023-03-15,$24.228,3891.93,$152.99,$89.68
2023-03-14,$24.063,3919.29,$152.59,$87.45
2023-03-13,$22.966,3855.76,$150.47,$82.01
2023-03-10,$22.965,3861.59,$148.50,$82.67
2023-03-09,$23.436,3918.32,$150.59,$84.03
2023-03-08,$24.181,3992.01,$152.87,$85.37
2023-03-07,$23.288,3986.37,$151.60,$82.11
2023-03-06,$23.554,4048.42,$153.83,$81.16
2023-03-03,$23.89,4045.64,$151.03,$81.52
2023-03-02,$23.314,3981.35,$145.91,$80.44
2023-03-01,$22.698,3951.39,$145.31,$78.29
2023-02-28,$23.216,3970.15,$147.41,$78.58
2023-02-27,$23.501,3982.24,$147.92,$78.77
2023-02-24,$23.286,3970.04,$146.71,$78.09
